runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
50632.william.thompson,William THOMPSON,23:44:09,974,Australie,AU,,65-69,H
55916.ioannis.ganasoulis,Ioannis GANASOULIS,23:44:27,975,Grèce,GR,,20-34,H
76340.tagikas.dimitrios,Tagikas DIMITRIOS,23:44:27,976,Grèce,GR,,35-39,H
76012.dimitrios.despoiniadis,Dimitrios DESPOINIADIS,23:44:28,977,Grèce,GR,,20-34,H
41590.alain.josephinefrancois,Alain JOSEPHINE-FRANCOIS,23:44:35,978,France,FR,,50-54,H
76341.jacques.lepreux,Jacques LEPREUX,23:44:35,979,France,FR,,55-59,H
76342.victoria.monfortgarcia,Victoria MONFORT-GARCIA,23:45:46,980,Espagne,ES,,40-44,F
2531703.luke.nolan,Luke NOLAN,23:45:47,981,Irlande,IE,,20-34,H
75766.marco.chiossone,Marco CHIOSSONE,23:46:07,982,Argentine,AR,,40-44,H
76344.christophe.hayoun,Christophe HAYOUN,23:46:09,983,France,FR,,40-44,H
25372.jeanluc.wilhelm,Jean-Luc WILHELM,23:47:20,984,France,FR,,50-54,H
24769.antonio.baudrillart,Antonio BAUDRILLART,23:47:20,985,France,FR,,40-44,H
25152.sebastien.grosse,Sebastien GROSSE,23:47:22,986,France,FR,,35-39,H
76345.josem.ballanomoreno,Jose-M BALLANO-MORENO,23:48:18,987,Espagne,ES,,80+,H
76346.francesc.moranmilanes,Francesc MORAN-MILANES,23:48:20,988,Espagne,ES,,55-59,H
76347.toni.guiradomazo,Toni GUIRADO-MAZO,23:48:22,989,Espagne,ES,,40-44,H
8881.jerome.duchiron,Jerome DUCHIRON,23:48:25,990,France,FR,,35-39,H
76348.vicente.diloreto,Vicente DI LORETO,23:51:52,991,Argentine,AR,,40-44,H
36755.shigeru.kashiwabara,Shigeru KASHIWABARA,23:52:19,992,Japon,JP,,40-44,H
74735.serge.leboucher,Serge LEBOUCHER,23:53:24,993,France,FR,,45-49,H
76126.patrick.arnoult,Patrick ARNOULT,23:53:25,994,France,FR,,40-44,H
73764.roland.trabichet,Roland TRABICHET,23:54:04,995,France,FR,,45-49,H
19835.giancarlo.beolchi,Giancarlo BEOLCHI,23:57:15,996,Italie,IT,,55-59,H
72460.victoria.worster,Victoria WORSTER,23:58:54,997,Royaume-Uni,GB,,35-39,F
187161.philippe.jacquet,Philippe JACQUET,23:59:03,998,Belgique,BE,,45-49,H
76349.ferencemanuel.kiss,Ferenc-Emanuel KISS,23:59:23,999,Hongrie,HU,,20-34,H
76350.jeanpierre.dulac,Jean-Pierre DULAC,23:59:42,1000,France,FR,,55-59,H
59496.giorgio.alluzzi,Giorgio ALLUZZI,24:00:29,1001,Italie,IT,,50-54,H
76156.yves.dedeken,Yves DE DEKEN,24:01:37,1002,France,FR,,60-64,H
72659.philippe.momesso,Philippe MOMESSO,24:02:21,1003,France,FR,,80+,H
76351.stewart.bondi,Stewart BONDI,24:05:32,1004,Royaume-Uni,GB,,80+,H
59659.guido.bullio,Guido BULLIO,24:05:48,1005,Italie,IT,,45-49,H
76179.ryo.shibata,Ryo SHIBATA,24:10:10,1006,Japon,JP,,35-39,H
1586797.katsumi.kocha,Katsumi KOCHA,24:10:18,1007,Japon,JP,,45-49,H
180400.jeanmartin.troxler,Jean-Martin TROXLER,24:10:47,1008,Suisse,CH,,45-49,H
59434.franco.canessa,Franco CANESSA,24:13:57,1009,Italie,IT,,60-64,H
8609.olivier.martin,Olivier MARTIN,24:14:50,1010,France,FR,,20-34,H
19154.hanspeter.gieraths,Hans-Peter GIERATHS,24:16:18,1011,Allemagne,DE,,45-49,H
46242.marco.cych,Marco CYCH,24:16:19,1012,Allemagne,DE,,20-34,H
32016.celia.azenha,Celia AZENHA,24:17:11,1013,Portugal,PT,,45-49,F
31987.hugo.velez,Hugo VELEZ,24:17:12,1014,Portugal,PT,,20-34,H
26675.patrice.leriche,Patrice LERICHE,24:17:27,1015,France,FR,,35-39,H
76352.beatriz.garcia,Beatriz GARCIA,24:17:36,1016,Bolivie,BO,,40-44,F
41582.monique.monnerayepaillaud,Monique MONNERAYE-PAILLAUD,24:17:39,1017,France,FR,,50-54,F
